  0.17404719E+01  0.73245860E+01  0.26532560E-14
  0.17578766E+01  0.73253175E+01  0.26954710E-05
  0.17752814E+01  0.73275087E+01  0.10891064E-04
  0.17926861E+01  0.73311496E+01  0.24913925E-04
  0.18100908E+01  0.73362238E+01  0.45307482E-04
  0.18274955E+01  0.73427084E+01  0.72828049E-04
  0.18449002E+01  0.73505740E+01  0.10843882E-03
  0.18623050E+01  0.73597855E+01  0.15329999E-03
  0.18797097E+01  0.73703018E+01  0.20875333E-03
  0.18971144E+01  0.73820766E+01  0.27629925E-03
  0.19145191E+01  0.73950583E+01  0.35756394E-03
  0.19319238E+01  0.74091908E+01  0.45425401E-03
  0.19493286E+01  0.74244135E+01  0.56809593E-03
  0.19667333E+01  0.74406624E+01  0.70075735E-03
  0.19841380E+01  0.74578701E+01  0.85374822E-03
  0.20015427E+01  0.74759664E+01  0.10282998E-02
  0.20189474E+01  0.74948790E+01  0.12252214E-02
  0.20363522E+01  0.75145340E+01  0.14447359E-02
  0.20537569E+01  0.75348564E+01  0.16862989E-02
  0.20711616E+01  0.75557704E+01  0.19484073E-02
  0.20885663E+01  0.75772003E+01  0.22284107E-02
  0.21059710E+01  0.75990703E+01  0.25223388E-02
  0.21233757E+01  0.76213053E+01  0.28247666E-02
  0.21407805E+01  0.76438306E+01  0.31287413E-02
  0.21581852E+01  0.76665724E+01  0.34257972E-02
  0.21755899E+01  0.76894571E+01  0.37060888E-02
  0.21929946E+01  0.77124114E+01  0.39586666E-02
  0.22103993E+01  0.77353619E+01  0.41719188E-02
  0.22278041E+01  0.77582341E+01  0.43341873E-02
  0.22452088E+01  0.77809520E+01  0.44345522E-02
  0.22626135E+01  0.78034374E+01  0.44637522E-02
  0.22800182E+01  0.78256090E+01  0.44151781E-02
  0.22974229E+01  0.78473821E+01  0.42858404E-02
  0.23148277E+01  0.78686680E+01  0.40771742E-02
  0.23322324E+01  0.78893743E+01  0.37955238E-02
  0.23496371E+01  0.79094056E+01  0.34521491E-02
  0.23670418E+01  0.79286643E+01  0.30626393E-02
  0.23844465E+01  0.79470522E+01  0.26457093E-02
  0.24018513E+01  0.79644727E+01  0.22214838E-02
  0.24192560E+01  0.79808326E+01  0.18095052E-02
  0.24366607E+01  0.79960444E+01  0.14267976E-02
  0.24540654E+01  0.80100280E+01  0.10863298E-02
  0.24714701E+01  0.80227123E+01  0.79613526E-03
  0.24888749E+01  0.80340355E+01  0.55919254E-03
  0.25062796E+01  0.80439456E+01  0.37400058E-03
  0.25236843E+01  0.80523999E+01  0.23565390E-03
  0.25410890E+01  0.80593644E+01  0.13716943E-03
  0.25584937E+01  0.80648129E+01  0.70833143E-04
  0.25758984E+01  0.80687262E+01  0.29397116E-04
  0.25933032E+01  0.80710909E+01  0.70319376E-05
  0.26106370E+01  0.80718993E+01  0.43676827E-14
  0.26279708E+01  0.80724603E+01  0.19565413E-04
  0.26453046E+01  0.80741408E+01  0.78621812E-04
